Command line arguments were ['seed_and_invoke.py', '-15270208', 'phase4b']
Starting at 08:13:46.515942
Using seed -15270208 for phase4b
Running at  08:13:46.515942
['ace of clubs', 'two of clubs', 'three of clubs', 'four of clubs', 'five of clubs', 'six of clubs', 'seven of clubs', 'eight of clubs', 'nine of clubs', 'ten of clubs', 'jack of clubs', 'queen of clubs', 'king of clubs', 'ace of hearts', 'two of hearts', 'three of hearts', 'four of hearts', 'five of hearts', 'six of hearts', 'seven of hearts', 'eight of hearts', 'nine of hearts', 'ten of hearts', 'jack of hearts', 'queen of hearts', 'king of hearts', 'ace of spades', 'two of spades', 'three of spades', 'four of spades', 'five of spades', 'six of spades', 'seven of spades', 'eight of spades', 'nine of spades', 'ten of spades', 'jack of spades', 'queen of spades', 'king of spades', 'ace of diamonds', 'two of diamonds', 'three of diamonds', 'four of diamonds', 'five of diamonds', 'six of diamonds', 'seven of diamonds', 'eight of diamonds', 'nine of diamonds', 'ten of diamonds', 'jack of diamonds', 'queen of diamonds', 'king of diamonds']
[ace of clubs, two of clubs, three of clubs, four of clubs, five of clubs, six of clubs, seven of clubs, eight of clubs, nine of clubs, ten of clubs, jack of clubs, queen of clubs, king of clubs, ace of hearts, two of hearts, three of hearts, four of hearts, five of hearts, six of hearts, seven of hearts, eight of hearts, nine of hearts, ten of hearts, jack of hearts, queen of hearts, king of hearts, ace of spades, two of spades, three of spades, four of spades, five of spades, six of spades, seven of spades, eight of spades, nine of spades, ten of spades, jack of spades, queen of spades, king of spades, ace of diamonds, two of diamonds, three of diamonds, four of diamonds, five of diamonds, six of diamonds, seven of diamonds, eight of diamonds, nine of diamonds, ten of diamonds, jack of diamonds, queen of diamonds, king of diamonds]
2424
[seven of hearts = 31,
 five of spades = 33,
 six of spades = 8,
 eight of hearts = 10,
 five of diamonds = 1,
 nine of diamonds = 32,
 king of diamonds = 11,
 nine of hearts = 13,
 three of diamonds = 47,
 jack of hearts = 15,
 three of hearts = 12,
 six of hearts = 23,
 two of clubs = 49,
 seven of diamonds = 2,
 eight of diamonds = 40,
 four of spades = 46,
 seven of spades = 51,
 ten of hearts = 35,
 seven of clubs = 14,
 king of spades = 4,
 two of hearts = 6,
 jack of diamonds = 44,
 eight of clubs = 5,
 five of clubs = 20,
 two of spades = 27,
 ten of clubs = 28,
 ten of spades = 7,
 ace of hearts = 18,
 jack of clubs = 21,
 six of diamonds = 41,
 ace of clubs = 30,
 king of hearts = 25,
 queen of spades = 3,
 ten of diamonds = 37,
 six of clubs = 9,
 ace of spades = 24,
 four of clubs = 22,
 nine of clubs = 19,
 five of hearts = 45,
 queen of diamonds = 29,
 three of spades = 50,
 eight of spades = 39,
 two of diamonds = 36,
 king of clubs = 17,
 nine of spades = 26,
 queen of clubs = 42,
 queen of hearts = 48,
 three of clubs = 16,
 four of hearts = 34,
 four of diamonds = 38,
 jack of spades = 0,
 ace of diamonds = 43]
[0m
